Affiliation with Department	Record Count	% of 1.857
Wuhan University State Key Laboratory Of Information Engineering In Surveying Mapping And Remote Sensing	2	0.108
Xi An Jiaotong University School Of Electrical Engineering	9	0.485
Xi An Jiaotong University School Of Electronic And Information Engineering	3	0.162
Xi An Jiaotong University School Of Mechanical Engineering	1	0.054
Xi An Jiaotong University State Key Laboratory For Manufacturing System Engineering	1	0.054
Xi An Jiaotong University State Key Laboratory Of Electrical Insulation And Power Equipment	5	0.269
Xi An Polytechnic University School Of Electronics And Information	2	0.108
Xidian University School Of Computer Science And Technology	5	0.269
Xidian University School Of Mechano Electronic Engineering	1	0.054
Xidian University State Key Laboratory Of Integrated Services Network	1	0.054
Yanshan University School Of Electrical Engineering	2	0.108
Yonsei University College Of Engineering	1	0.054
Yonsei University School Of Electrical And Electronic Engineering	1	0.054
York University Lassonde School Of Engineering	1	0.054
Zagazig University Faculty Of Engineering	1	0.054
Zhejiang University College Of Computer Science And Technology	1	0.054
Zhejiang University College Of Electrical Engineering	7	0.377
Zhejiang University College Of Energy Engineering	1	0.054
Zhejiang University College Of Information Science And Electronic Engineering	1	0.054
Zhejiang University Department Of Control Science And Engineering	5	0.269
Zhejiang University Faculty Of Engineering	8	0.431
Zhejiang University Faculty Of Information Technology	6	0.323
Zhejiang University Faculty Of Social Sciences	1	0.054
Zhejiang University Institute Of Cyber Systems And Control	1	0.054
Zhejiang University Of Technology College Of Computer Science And Technology	1	0.054
Zhejiang University Of Technology College Of Information Engineering	1	0.054
Zhejiang University Of Technology College Of Mechanical Engineering	1	0.054
Zhejiang University Of Technology Institute Of Cyberspace Security	1	0.054
Zhejiang University Of Technology School Of Design And Architecture	1	0.054
Zhejiang University Of Technology Zhijiang College	1	0.054
Zhejiang University School Of Public Affairs	1	0.054
Zhejiang University State Key Laboratory Of Industrial Control Technology	2	0.108
Zhengzhou University School Of Civil Engineering	1	0.054
971 record(s) (52.289%) do not contain data in the field being analyzed
