id	organization	documents	citations	total link strength
1564	state grid informat & telecommun grp co ltd	1	1	0
1565	state grid jiangsu elect power co	4	279	38
1566	state grid jiangsu informat & telecommun co	1	0	1
1567	state grid jiangxi elect power co ltd	2	7	1
1568	state grid jibei elect power co ltd	1	4	3
1569	state grid liaoning elect power co	1	38	2
1570	state grid liaoning elect power co ltd	1	0	0
1571	state grid liaoning mkt serv ctr	1	0	0
1572	state grid nanjing automat res inst nari	1	438	37
1573	state grid ningbo power supply co	1	0	0
1574	state grid ningxia yinchuan elect power co	1	13	4
1575	state grid shaanxi elect power co	1	5	12
1576	state grid shaanxi elect power res inst	1	5	12
1577	state grid shandong elect power co	1	0	0
1578	state grid shandong elect power res inst	1	0	0
1579	state grid shanghai municipal elect power co	2	3	10
1580	state grid shanghai shinan elect power supply co	1	17	0
1581	state grid sichuan elect power co	1	11	0
1582	state grid sichuan elect power res inst	2	1	2
1583	state grid taizhou power supply co	1	8	2
1584	state grid tianjin elect power co	2	3	2
1585	state grid xinjiang co ltd	1	9	0
1586	state grid xinjiang elect power co	1	94	40
1587	state grid xinjiang elect power co ltd	1	1	0
1588	state grid zhejiang elect power co ltd	2	13	5
1589	state grid zhenjiang elect power co ltd	1	0	0
1590	state key lab low carbon smart coal fired power ge	1	0	0
1591	state key lab nucl power safety monitoring techno	1	24	8
1592	state key lab power grid environm protect	1	0	0
1593	state key lab smart grid protect & control	1	0	4
1594	state univ appl sci nowy sacz	1	5	0
1595	state univ ceara uece	2	67	34
1596	state univ management	1	13	0
1597	state univ new york buffalo state	1	10	0
1598	state univ rio janeiro	1	0	3
1599	steag energy serv gmbh	1	11	7
1600	stellenbosch univ	1	0	8
1601	stevens inst technol	2	32	39
1602	stmik pringsewu	1	144	0
1603	stronghold resource partners	1	0	2
1604	sudan univ sci & technol	1	2	16
1605	sultan qaboos univ	3	5	9
1606	sumy state univ	1	0	16
1607	sun yat sen univ	2	124	21
1608	sungkyunkwan univ	2	6	23
1609	sunway univ	2	23	10
1610	suny albany	1	3	0
1611	suny buffalo	1	5	4
1612	suny polytech inst	8	86	472
1613	suny polytechn inst	1	0	47
1614	suomen hyotytuuli oy	1	2	7
1615	super univ	2	6	30
1616	sutd	1	10	2
1617	swiss fed inst technol	2	31	0
1618	swiss fed labs mat sci & technol	1	52	0
1619	symbiosis inst technol	1	25	32
1620	symbiosis int deemed univ	2	62	3
1621	symbiosis int deemed univ siu	1	0	0
1622	symbiosis int univ	1	2	5
1623	syracuse univ	2	13	2
1624	taber int	1	16	0
1625	tafila tech univ	1	0	4
1626	taibah univ	2	0	19
1627	taif univ	9	136	53
1628	taiyuan univ sci & technol	2	104	20
1629	taiyuan univ technol	3	24	19
1630	taiz univ	1	31	52
1631	tallinn univ technol	2	11	0
1632	tamale tech univ	1	2	0
1633	tampere univ	2	7	7
1634	tangshan univ	1	37	0
1635	tarbiat modares univ	1	26	20
1636	target ai	1	7	0
1637	tashkent state univ econ	1	4	7
1638	tauron wytwarzanie sa	2	25	2
1639	teamware	1	0	0
1640	tech univ catalonia	1	65	24
1641	tech univ catalonia upc	1	3	4
1642	tech univ cluj napoca	5	84	19
1643	tech univ crete	2	2	0
1644	tech univ darmstadt	2	45	19
1645	tech univ denmark	9	336	70
1646	tech univ dortmund	1	0	0
1647	tech univ munich	2	65	0
1648	tech univ sofia	2	4	3
1649	tech univ wien	1	1	0
1650	technol & innovat ctr	1	30	6
1651	technol innovat inst	2	6	34
1652	technol water control syst & management co	1	17	0
1653	tecnalia	1	56	0
1654	tecnau srl	1	0	0
1655	tecnm chihuahua	1	0	5
1656	tecnol monterrey	2	13	6
1657	teesside univ	1	0	0
1658	tel aviv univ	3	36	2
1659	telecom paristech	1	32	9
1660	telecommun technol ctr catalonia cttc	1	3	4
1661	temple univ	1	0	0
1662	tencent inc	1	39	24
1663	tennessee technol univ	31	651	1070
1664	terna coll engn	1	0	2
1665	terna spa	1	1	0
1666	texas a&m int univ	1	4	0
1667	texas a&m univ	24	558	564
1668	texas a&m univ cent texas	1	2	11
1669	texas a&m univ kingsville	4	94	50
1670	texas a&m univ qatar	12	247	272
1671	texas tech univ	4	32	18
1672	thales belgium	1	5	4
1673	thapar inst engn & technol	6	383	45
1674	thiagarajar coll engn	1	24	18
1675	thompson rivers univ	1	6	12
1676	tianjin chengjian univ	1	45	9
1677	tianjin keyvia elect co ltd	1	45	9
1678	tianjin municipal	1	20	0
1679	tianjin renai coll	1	0	0
1680	tianjin survey & design inst water transport engn	1	1	0
1681	tianjin univ	12	160	28
1682	tianjin univ sci & technol	1	0	1
1683	tianjin univ technol	1	1	0
1684	tishk int univ tiu	2	78	3
1685	tishreen univ	3	77	41
1686	tkm coll engn	1	6	0
1687	tohoku univ	1	0	0
1688	tokyo denki univ	1	0	0
1689	tokyo inst technol	1	2	2
1690	tokyo univ agr & technol	1	11	0
1691	tongji univ	3	87	39
1692	toronto metropolitan univ	2	4	46
1693	torrens univ	1	0	8
1694	towson univ	2	19	12
1695	toyota cent res & dev labs inc	2	1	0
1696	toyota tsusho corp	2	1	0
1697	tra vinh univ	1	13	0
1698	transmiss co nigeria tcn	1	0	0
1699	transmissora alianc energia elect sataesa	1	4	0
1700	transmissora alianca energia eletr sa taesa	1	0	0
1701	trianel windpk borkum gmbh & co kg	1	11	7
1702	tribhuvan univ	1	28	0
1703	trinity coll dublin	1	9	2
1704	tshwane univ technol	3	95	32
1705	tsinghua univ	15	185	51
1706	tu dortmund univ	2	5	0
1707	tu graz sal lab	1	8	0
1708	tu wien	1	0	0
1709	tubitak mrc energy technol	1	3	0
1710	tufts univ	2	4	0
1711	turkiye is kurumu iskur	1	1	0
1712	tusimple co	1	77	15
1713	uae univ	2	28	7
1714	ucem	1	0	0
1715	ucl	3	235	60
1716	ucsi univ	2	94	35
1717	ufpr brazil	1	1	0
1718	umm al qura univ	9	165	151
1719	unesp sao paulo state univ	1	5	3
1720	unicen	1	1	0
1721	united arab emirates univ	2	22	7
1722	united technol res ctr	1	6	0
1723	univ a coruna	1	5	0
1724	univ abdou moumouni	1	1	0
1725	univ adelaide	1	1	0
1726	univ aden	1	23	30
1727	univ aegean	1	16	0
1728	univ agder	4	24	41
1729	univ agr faisalabad	1	34	0
1730	univ aizu	1	0	0
1731	univ akron	3	483	228
1732	univ alabama	5	101	43
1733	univ alabama huntsville	1	1	6
1734	univ albaha	1	34	33
1735	univ alberta	6	188	45
1736	univ alcala	1	3	0
1737	univ amar telidji	1	36	3
1738	univ anbar	1	0	4
1739	univ andes	3	18	25
1740	univ antioquia	1	4	0
1741	univ appl sci & arts southern switzerland	1	3	3
1742	univ appl sci kempten	1	1	0
1743	univ aquila	2	173	4
1744	univ arizona	1	26	0
1745	univ arkansas	2	103	48
1746	univ auckland	2	28	9
1747	univ autonoma carmen	1	31	3
1748	univ autonoma queretaro	1	0	2
1749	univ autonoma yucatan	1	4	0
1750	univ aveiro	1	23	18
1751	univ azad jammu & kashmir	2	5	17
1752	univ badji mokhtar annaba	1	35	10
1753	univ baghdad	3	4	22
1754	univ bahrain	1	14	27
1755	univ bari aldo moro	1	34	4
1756	univ basque country	4	72	57
1757	univ bath	3	29	10
1758	univ batna 2	4	52	162
1759	univ bayreuth	1	0	12
1760	univ beira interior	1	1	0
1761	univ belgrade	4	64	37
1762	univ bina darma	1	2	1
1763	univ bina insan	1	0	11
1764	univ birjand	1	5	0
1765	univ bisha	4	79	49
1766	univ blida 1	1	0	0
1767	univ bologna	1	6	0
1768	univ bolton	2	55	1
1769	univ bourgogne	1	0	0
1770	univ bremen	2	66	3
1771	univ brescia	2	24	11
1772	univ brest	4	52	162
1773	univ british columbia	3	72	27
1774	univ british columbia okanagan	2	23	0
1775	univ bucharest	1	1	0
1776	univ burgos	1	5	0
1777	univ burgundy	2	43	53
1778	univ business & technol	1	0	56
1779	univ business & technol ubt	1	15	16
1780	univ cagliari	1	6	0
1781	univ calabria	3	41	59
1782	univ calgary	7	191	158
1783	univ calif davis	1	40	0
1784	univ calif irvine	1	5	2
1785	univ calif los angeles	3	139	27
1786	univ calif san diego	3	19	1
1787	univ cambridge	2	46	0
1788	univ campania l vanvitelli	1	15	0
1789	univ campinas unicamp	1	0	0
1790	univ campus bio med roma	1	3	3
1791	univ canada west	2	10	7
1792	univ cardiff	1	2	0
1793	univ carlos iii madrid	5	16	99
1794	univ carthage	1	54	1
1795	univ castilla la mancha	4	86	33
1796	univ catolica cuenca	1	0	0
1797	univ cent florida	4	130	37
1798	univ cent missouri	1	4	20
1799	univ chile	3	179	48
1800	univ chinese acad sci	2	42	10
1801	univ coimbra	6	55	17
1802	univ coll dublin	4	27	51
1803	univ coll dublin belfield	1	7	0
1804	univ coll dublin ireland	1	7	0
1805	univ coll engn	1	0	1
1806	univ cologne	1	2	2
1807	univ colombo	1	1	2
1808	univ colorado	3	244	6
1809	univ complutense madrid	2	5	0
1810	univ connecticut	2	3	7
1811	univ cordoba	1	6	0
1812	univ ctr nour bachir	1	0	0
1813	univ ctr salhi ahmed naama	1	0	0
1814	univ cuenca	4	9	10
1815	univ cyprus	2	18	23
1816	univ delaware	1	4	4
1817	univ denver	3	51	0
1818	univ dubai	1	6	0
1819	univ dublin	1	6	47
1820	univ duisburg essen	1	0	2
1821	univ durham	2	54	22
1822	univ eastern finland	1	63	2
1823	univ ecotec	1	40	23
1824	univ edinburgh	2	298	28
1825	univ elec sci & tech china	1	6	0
1826	univ elect sci & technol	1	18	10
1827	univ elect sci & technol china	15	241	69
1828	univ electrocommun	1	1	0
1829	univ engn & appl sci	1	0	0
1830	univ engn & technol	4	56	10
1831	univ engn & technol & lahore	2	14	22
1832	univ engn & technol taxila	1	23	30
1833	univ engn & technol uet	1	2	0
1834	univ essex	3	149	98
1835	univ estadual campinas	2	4	0
1836	univ estadual paulista	1	16	7
1837	univ europea atlantico	1	2	0
1838	univ evora	1	11	0
1839	univ exeter	2	76	27
1840	univ extremadura	1	56	0
1841	univ faisalabad	1	2	6
1842	univ fed ceara	1	28	0
1843	univ fed fluminense	3	6	2
1844	univ fed itajuba	1	0	0
1845	univ fed lavras	1	7	0
1846	univ fed mato grosso	1	1	0
1847	univ fed minas gerais	1	4	0
1848	univ fed pampa	2	3	2
1849	univ fed paraiba	1	5	2
1850	univ fed pernambuco	1	3	1
1851	univ fed rio grande do sul	1	53	0
1852	univ fed rio janeiro	1	0	3
1853	univ fed santa catarina	2	28	4
1854	univ fed santa maria	2	10	2
1855	univ fed uberlandia	2	5	1
1856	univ ferhat abbas set 1	1	0	1
1857	univ florida	7	104	77
1858	univ ft hare	1	0	0
1859	univ galway	1	6	3
1860	univ gavle	1	39	0
1861	univ geneva	1	23	5
1862	univ genoa	1	1	0
1863	univ georgia	4	171	80
1864	univ ghana	1	0	9
1865	univ ghent	1	43	3
1866	univ glasgow	5	97	23
1867	univ goettingen	1	17	5
1868	univ gothenburg	1	88	9
1869	univ gottingen	1	45	19
1870	univ granada	3	4	0
1871	univ greenwich	2	56	72
1872	univ grenoble alpes	1	2	5
1873	univ guadalajara	1	4	0
1874	univ guelma	1	9	3
1875	univ guelph	5	195	165
1876	univ guilan	1	11	5
1877	univ haifa	1	8	0
1878	univ hail	4	21	21
1879	univ hawaii manoa	3	13	27
1880	univ helsinki	1	317	24
1881	univ hertfordshire	3	18	9
1882	univ hong kong	3	19	17
1883	univ hormozgan	2	40	62
1884	univ houston	6	115	15
1885	univ hradec kralove	2	22	0
1886	univ huddersfield	1	0	4
1887	univ hull	1	50	7
1888	univ ibadan	1	20	0
1889	univ idaho	5	125	70
1890	univ illinois	8	222	150
1891	univ indo global mandiri	1	0	11
1892	univ indonesia	1	5	0
1893	univ innsbruck	1	10	16
1894	univ inst technol rgpv	1	0	0
1895	univ int cuanza	1	2	0
1896	univ int ecuador	1	3	37
1897	univ int iberoamer	1	40	8
1898	univ int iberoamericana	1	2	0
1899	univ ioannina	1	3	0
1900	univ jadavpur	1	2	0
1901	univ jaen	3	9	10
1902	univ jeddah	1	11	22
1903	univ jinan	1	2	0
1904	univ johannesburg	14	369	254
1905	univ jordan	2	45	4
1906	univ kahramanmaras istiklal	1	0	0
1907	univ kahramanmaras sutcu imam	1	0	0
1908	univ kaiserslautern	2	0	0
1909	univ kashan	1	18	9
1910	univ kassel	1	2	0
1911	univ kebangsaan malaysia	4	97	78
1912	univ kelaniya	1	0	0
1913	univ kentucky	3	116	19
1914	univ kharazmi	1	12	10
1915	univ kingston	2	67	34
1916	univ kirkuk	1	1	16
1917	univ klagenfurt	2	7	23
1918	univ kristen imanuel	1	1	0
1919	univ kuala lumpur	1	1	10
1920	univ kurdistan	2	1	0
1921	univ kwazulu natal	3	65	10
1922	univ lagos	1	0	0
1923	univ lahore	1	3	0
1924	univ lancaster	5	283	49
1925	univ leeds	2	34	45
1926	univ liberal arts bangladesh	1	22	0
1927	univ lille	3	15	6
1928	univ limerick	1	11	0
1929	univ lincoln	1	35	10
1930	univ lisbon	4	114	14
1931	univ ljubljana	1	7	0
1932	univ london imperial coll sci technol & med	1	31	0
1933	univ lorraine	1	0	5
1934	univ luxembourg	2	102	85
1935	univ macau	1	2	19
1936	univ macedonia	2	79	62
1937	univ maiduguri	1	3	4
1938	univ maine	1	15	3
1939	univ maine presque isle	1	31	52
1940	univ malaga	3	14	1
1941	univ malaya	1	54	1
1942	univ malaysia sabah	1	11	0
1943	univ malaysia sarawak	2	72	25
1944	univ management & technol	1	15	0
1945	univ manchester	6	72	5
1946	univ maryland baltimore cty	2	83	32
1947	univ massachusetts	1	8	0
1948	univ mazandaran	1	0	6
1949	univ mazandaran umz	1	0	6
1950	univ med & dent new jersey	1	66	3
1951	univ melbourne	2	15	0
1952	univ memphis	3	80	90
1953	univ messina	2	96	14
1954	univ mhamed bougara	1	0	1
1955	univ miami	1	0	5
1956	univ michigan	4	59	61
1957	univ michigan dearborn	1	0	10
1958	univ michoacana	1	0	0
1959	univ milan	1	3	24
1960	univ milano bicocca	1	92	0
1961	univ minnesota	3	314	38
1962	univ missouri	1	40	0
1963	univ mohamed vi polytech um6p	1	1	2
1964	univ molise	2	16	10
1965	univ moncton	2	33	87
1966	univ montenegro	2	18	2
1967	univ moratuwa	3	53	12
1968	univ mosul	1	1	0
1969	univ multan	1	34	29
1970	univ n carolina	1	85	16
1971	univ nacl autonoma mexico	1	0	0
1972	univ nacl colombia	1	0	0
1973	univ nacl san luis	1	1	0
1974	univ naples federico ii	2	7	51
1975	univ naples l orientale	1	22	4
1976	univ navarra	1	6	0
1977	univ nebraska	2	13	18
1978	univ nevada	4	97	25
1979	univ nevada las vegas	1	0	17
1980	univ new brunswick	4	115	6
1981	univ new mexico	3	31	3
1982	univ new orleans	1	28	0
1983	univ new s wales	1	40	0
1984	univ new south wales	9	463	266
1985	univ new south wales canberra	2	90	0
1986	univ new south wales canberra adfa	1	11	9
1987	univ new south wales sydney	2	21	7
1988	univ new south wales unsw	1	21	0
1989	univ newcastle	2	51	35
1990	univ nis	1	7	0
1991	univ north dakota	1	0	5
1992	univ north florida	1	1	14
1993	univ north texas	3	14	53
1994	univ northern british columbia	1	15	5
1995	univ northumbria	2	54	22
1996	univ nottingham malaysia	1	1	0
1997	univ novi sad	3	4	7
1998	univ ontario	1	42	1
1999	univ oradea	1	1	0
2000	univ oslo	2	258	30
2001	univ ottawa	6	421	40
2002	univ oviedo	2	14	43
2003	univ oxford	2	71	22
2004	univ padua	2	38	3
2005	univ palermo	1	19	0
2006	univ pamplona	1	6	0
2007	univ paris 06	1	0	0
2008	univ paris est creteil	1	1	0
2009	univ paris saclay	3	21	13
2010	univ pasundan	1	4	0
2011	univ patras	4	15	10
2012	univ pavia	1	1	0
2013	univ peloponnese	1	4	18
2014	univ pennsylvania	1	0	1
2015	univ perugia	2	23	18
2016	univ petr & energy studies	5	55	22
2017	univ petr & studies upes	1	2	0
2018	univ philippines open univ	1	1	17
2019	univ piraeus	2	35	40
2020	univ pisa	1	1	29
2021	univ pittsburgh	4	15	12
2022	univ planalto catarinense	1	3	2
2023	univ plymouth	1	18	7
2024	univ politecn cataluna	5	8	38
2025	univ politecn catalunya ets engn ind barcelona	1	19	7
2026	univ politecn catalunya upc	2	43	23
2027	univ politecn madrid	5	52	69
2028	univ politecn salesiana	1	7	0
2029	univ politecn valencia	3	122	11
2030	univ politehn bucuresti	1	10	4
2031	univ pontificia comillas	1	9	0
2032	univ porto	2	20	45
2033	univ porto feup	1	10	2
2034	univ pretoria	3	27	40
2035	univ publ navarra	1	23	0
2036	univ puerto rico	2	63	51
2037	univ punjab	1	15	6
2038	univ putra malaysia upm	1	1	2
2039	univ quebec	3	75	4
2040	univ quebec chicoutimi uqac	1	51	84
2041	univ quebec outaouais	1	12	16
2042	univ queensland	6	41	41
2043	univ regina	2	12	55
2044	univ rhode isl	3	230	7
2045	univ rochester	1	5	0
2046	univ roehampton	1	1	5
2047	univ roma la sapienza	1	20	4
2048	univ roma tor vergata	2	91	11
2049	univ rome sapienza	1	1	4
2050	univ rwanda	1	39	0
2051	univ s florida	3	13	17
2052	univ saida	1	0	0
2053	univ saida dr moulay tahar	2	24	52
2054	univ sains malaysia usm	1	1	10
2055	univ salamanca	3	8	2
2056	univ salerno	7	227	78
2057	univ sannio	2	11	6
2058	univ santiago chile	2	0	0
2059	univ sao paulo	5	34	8
2060	univ sargodha	1	0	13
2061	univ saskatchewan	2	52	4
2062	univ sci & technol	2	13	0
2063	univ sci & technol beijing	2	35	84
2064	univ sci & technol china	3	16	30
2065	univ sci & technol houari boumediene usthb	1	0	1
2066	univ sci & technol oran	1	0	1
2067	univ sci & technol oran mohamed boudiaf usto mb	1	2	28
2068	univ seville	4	81	2
2069	univ shanghai sci & technol	1	1	6
2070	univ sharjah	3	46	35
2071	univ sheffield	3	37	48
2072	univ sherbrooke	1	0	0
2073	univ sidi mohamed ben abdellah	1	0	13
2074	univ south australia	2	214	21
2075	univ south carolina	1	22	11
2076	univ south pacific	1	81	25
2077	univ south wales	2	24	18
2078	univ southampton	1	2	0
2079	univ southern calif	4	42	0
2080	univ southern denmark	1	2	0
2081	univ southern queensland	2	37	15
2082	univ sri jayewardenepura	1	0	0
2083	univ sriwijaya	3	5	32
2084	univ stavanger	7	30	20
2085	univ strathclyde	9	310	85
2086	univ stuttgart	1	88	9
2087	univ sultan zainal abidin	1	1	16
2088	univ sunshine coast	2	121	25
2089	univ surrey	4	132	101
2090	univ svizzera italiana	1	2	0
2091	univ sydney	8	112	40
2092	univ tabriz	14	207	196
2093	univ tabuk	8	57	133
2094	univ tartu	1	37	9
2095	univ technol bahrain	1	2	2
2096	univ technol sydney	13	238	133
2097	univ technol troyes	2	91	45
2098	univ tecn federico santa maria	2	23	27
2099	univ tehran	5	74	49
2100	univ teknol malaysia	4	34	74
2101	univ teknol malaysia utm	1	2	0
2102	univ teknol mara	1	0	0
2103	univ teknol petronas	6	115	38
2104	univ tenaga nas	2	3	5
2105	univ tennessee	5	128	36
2106	univ tennessee knoxville	1	0	2
2107	univ texas arlington	2	77	23
2108	univ texas austin	3	0	4
2109	univ texas dallas	5	64	19
2110	univ texas permian basin	2	40	63
2111	univ texas rio grande valley	1	6	0
2112	univ texas san antonio	9	661	233
2113	univ thessaly	1	4	2
2114	univ tokyo	1	14	0
2115	univ torino	1	1	0
2116	univ toronto	5	63	61
2117	univ toulouse	2	34	33
2118	univ tulsa	1	3	0
2119	univ tun hussein onn	1	0	4
2120	univ tunis	1	15	0
2121	univ turku	1	0	0
2122	univ tuscia	1	37	10
2123	univ twente	1	1	0
2124	univ uberlandia	1	0	1
2125	univ udine	2	15	2
2126	univ ulm	1	5	0
2127	univ ulsan	7	481	186
2128	univ ulster	1	0	0
2129	univ umm al qura	1	25	53
2130	univ utah	3	78	19
2131	univ vaasa	7	125	94
2132	univ valladolid	2	37	3
2133	univ valle	1	9	2
2134	univ vermont	2	8	6
2135	univ verona	1	0	0
2136	univ vic cent univ catalonia	1	22	4
2137	univ victoria	2	62	24
2138	univ wah	1	53	9
2139	univ warith al anbiyaa	1	13	0
2140	univ warwick	6	42	39
2141	univ washington	2	49	25
2142	univ waterloo	7	207	125
2143	univ west attica	2	23	11
2144	univ west florida	2	21	9
2145	univ west scotland	1	7	0
2146	univ western australia	1	0	0
2147	univ western macedonia	9	283	234
2148	univ western ontario	1	1	0
2149	univ windsor	8	175	88
2150	univ wisconsin parkside	1	1	0
2151	univ witwatersrand	2	66	56
2152	univ wolverhampton	2	21	10
2153	univ worcester	1	12	28
2154	univ zanjan	1	2	0
2155	univ zaragoza	3	31	3
2156	unsl	1	1	0
2157	unsw	1	4	18
2158	unsw sydney	1	0	6
2159	upside energy	1	278	28
2160	ural fed univ	1	1	9
2161	us army res lab	1	0	0
2162	us army res lab adelphi	1	9	13
2163	us doe	1	0	5
2164	us lab	1	1	0
2165	us mil acad	1	2	0
2166	usmba univ	1	0	0
2167	ustc	1	1	0
2168	utah div drinking water	1	4	0
2169	utah state univ	1	28	0
2170	ute univ	1	12	43
2171	utn	1	0	6
2172	uttaranchal univ	1	40	8
2173	uzhgorod natl univ	1	4	0
2174	vanderbilt univ	2	32	18
2175	vardhaman coll engn	1	7	22
2176	vardhaman coll engn kacharam	1	1	22
2177	veer surendra sai univ technol	1	0	0
2178	vel tech multi tech dr rr dr sr engn coll	1	0	0
2179	vel tech rangarajan dr sagunthala r&d inst sci &	1	50	39
2180	vel tech rangarajan dr sagunthala r&d inst sci & t	3	10	22
2181	vel tech rangarajan dr sagunthala r&d inst sci &te	1	0	6
2182	vellore inst technol	23	322	276
2183	vellore inst technol chennai	1	2	2
2184	vellore inst technol vit	1	6	19
2185	vellore univ	1	0	0
2186	vels inst sci technol & adv studies	1	0	3
2187	victoria univ	3	15	3
2188	victoria univ wellington	1	45	3
2189	vidyavardhaka coll engn	1	0	0
2190	vietnam posts & telecommun grp	1	34	4
2191	villanova univ	1	0	0
2192	vinot bv	1	2	2
2193	virginia commonwealth univ	1	14	0
2194	virginia polytech inst & state univ	2	30	17
2195	virginia tech	7	57	101
2196	virtual univ pakistan	4	79	173
2197	vishwakarma univ	2	100	44
2198	visvesvaraya natl inst technol	1	1	0
2199	vit ap	1	1	0
2200	vit bhopal univ	2	15	0
2201	vit tall energy unit	1	0	0
2202	vit univ	1	17	8
2203	vjti	2	15	14
2204	vr siddhartha engn coll	1	12	0
2205	vrije univ brussel	1	3	3
2206	vrije univ brussel vub	1	0	0
2207	vtrc arlington	1	11	5
2208	vtt tech res ctr finland	1	0	1
2209	vtu	1	6	14
2210	wageningen univ & res	1	10	16
2211	wakaru consulting lda	1	8	5
2212	wapcos ltd	1	0	19
2213	wapda	1	6	0
2214	warsaw univ life sci	1	6	0
2215	warsaw univ life sci sggw	1	5	0
2216	warsaw univ life sci wuls sggw	1	15	23
2217	warsaw univ technol	4	33	24
2218	waseda univ	1	49	34
2219	washington state univ	10	237	66
2220	washington state univ wsu	1	2	1
2221	washington univ	4	369	67
2222	wayne state univ	1	41	0
2223	weifang univ sci & technol	1	23	8
2224	weihai power supply co	1	1	0
2225	weizmann inst sci	1	125	0
2226	wenzhou univ	1	0	0
2227	west univ timisoara	2	10	0
2228	west virginia univ	3	16	24
2229	western kentucky univ	1	7	0
2230	western michigan univ	3	28	4
2231	western univ	2	40	8
2232	windsor univ	1	6	0
2233	worms univ appl sci	1	5	2
2234	wpd windmanager gmbh & co kg	1	32	1
2235	wright state univ	1	0	47
2236	wroclaw univ technol	1	0	0
2237	wsu	1	2	1
2238	wuhan text univ	2	0	0
2239	wuhan univ	7	74	32
2240	wuhan univ technol	2	29	13
2241	wuyi univ	2	20	0
2242	xemc wind power co ltd	1	20	3
2243	xi an jiao tong univ	14	240	127
2244	xiamen key lab frontier elect power equipment & in	1	1	0
2245	xiamen univ	1	5	0
2246	xiamen univ technol	2	28	4
2247	xian jiaotong liverpool univ	1	0	0
2248	xian key lab interconnected sensing & intelligent	1	0	2
2249	xian polytech univ	3	8	3
2250	xian united ride intelligent technol co ltd	1	17	0
2251	xian univ sci & technol	1	0	0
2252	xian univ technol	1	11	0
2253	xichang univ	1	3	0
2254	xidian univ	9	224	162
2255	xijing univ	1	11	6
2256	xinjiang univ	3	1	3
2257	xinjiang xinneng grp co ltd	1	9	0
2258	xm elect market experts	1	9	2
2259	xm sa esp	1	1	0
2260	xpertpower associates	1	10	0
2261	xylem	1	15	0
2262	yale law sch	1	4	0
2263	yanshan univ	3	20	24
2264	yeungnam univ	4	76	7
2265	yncrea hauts france	1	1	0
2266	yobe state univ	1	3	4
2267	yonsei univ	2	31	8
2268	york univ	5	81	32
2269	yunnan power grid co ltd	2	4	13
2270	zagazig univ	2	69	43
2271	zhejiang acad agr sci	1	33	0
2272	zhejiang gongshan univ	1	38	1
2273	zhejiang gongshang univ	1	8	6
2274	zhejiang lab	1	3	1
2275	zhejiang normal univ	3	23	33
2276	zhejiang ocean univ	1	0	6
2277	zhejiang power corp	1	0	1
2278	zhejiang univ	18	256	156
2279	zhejiang univ city coll	1	33	0
2280	zhejiang univ technol	2	33	12
2281	zhejiang wanli univ	1	0	0
2282	zhejiang windey co ltd	1	0	8
2283	zhejiang yuexiu univ	1	1	0
2284	zhejiang zheneng jiahua elect power generat co ltd	1	2	0
2285	zhengzhou business univ	1	10	0
2286	zhengzhou univ	6	65	174
2287	zhongda grp	3	64	107
2288	zhongkai univ agr & engn	1	6	0
2289	zhongnan univ econ & law	2	36	0
2290	zhongyuan univ technol	1	12	17
2291	zibo metrol technol res inst	1	0	22
2292	zunyi med univ	1	14	3
2293	zurich univ appl sci	1	0	0
